,,,Volumen Facturado (m3) - 2210 - Acumulado,,,,,,,,,,,,,,,,,
10,,INDEPENDENCIA,0,0,0,0,,,47,EMSAPA CALCA S.R.L.,"2,225",0,876,438,,,0,0,0,0
10,"10,002",SAN ANDRES,730.74,860.3,823.99,405.12,,,48,EPS AGUAS DEL ALTIPLANO S.R.L.,"1,383",0,"1,325",663,,,0.730738,0.8603,0.823989,0.405124
10,,TUPAC AMARU INCA,0,0,0,0,,,50,EMSAPA YAULI S.R.L.,490,527,474,236,,,0,0,0,0
10,"10,003",LA VILLA TUPAC AMARU,846.85,856.84,900.8,455.53,,,51,SEDAPAR S.R.L.,498,"1,055","1,010",483,,,0.84685,0.856837,0.900802,0.455533
11,"11,001",CAJAMARCA,"6,502.98","6,716.61","6,782.39","3,438.74",,,,,,,,,,,6.502979,6.716611,6.782386,3.438743815
11,"11,002",CONTUMAZA,99.74,105.79,108.42,46.8,,,,,,,,,,,0.099738,0.105787,0.108424,0.046800444
11,"11,003",SAN MIGUEL,153.28,165.32,165.32,78.43,,,,,,,,,,,0.153281,0.165322,0.165324,0.078425593
12,"12,001",TACNA,"15,081.05","14,213.71","14,375.96","7,503.55",,,,,,,,,,,15.081052,14.21371,14.37596,7.503552
12,"12,002",PACHIA,56.42,56.59,55.78,27.61,,,,,,,,,,,0.056419,0.056591,0.055784,0.027607
12,"12,003",LOCUMBA,77.65,77.14,81.21,40.18,,,,,,,,,,,0.077646,0.077136,0.081211,0.040178
13,"13,001",NASCA,"1,742.80","1,936.27","1,653.10",912.98,,,,,,,,,,,1.742803,1.93627,1.653096,0.91297637
14,"14,001",CHIMBOTE,"14,405.00","14,825.70","15,275.79","7,920.60",,,,,,,,,,,14.405,14.825695,15.275789,7.9206005
14,"14,002",CASMA,"1,304.63","1,447.18","1,515.98",737.71,,,,,,,,,,,1.304631,1.447179,1.515984,0.737711
14,"14,003",HUARMEY,870.61,"1,001.39","1,089.91",549.05,,,,,,,,,,,0.870608,1.001391,1.089914,0.549047
15,"15,001",HUAMANGA,"8,778.49","9,337.85","9,811.02","4,998.63",,,,,,,,,,,8.778489,9.337848,9.81102,4.998626
15,"15,002",HUANTA,"1,174.71","1,256.21","1,373.35",713.49,,,,,,,,,,,1.17471466,1.25621,1.373347,0.713494
16,"16,001",TARAPOTO,"6,543.00","6,897.98","6,910.21","3,674.17",,,,,,,,,,,6.542996,6.897982,6.910213,3.674172481
16,,JUANJUI,0,0,0,0,,,,,,,,,,,0,0,0,0
16,,RIOJA,0,0,0,0,,,,,,,,,,,0,0,0,0
16,"16,002",SAPOSOA,445.4,435.41,445.63,220.22,,,,,,,,,,,0.445396,0.435412,0.445625,0.220222519
16,"16,003",LAMAS,416.2,417.4,423.82,225.82,,,,,,,,,,,0.416199,0.417401,0.423824,0.225822074
16,"16,004",SAN JOSE DE SISA,327.05,294.19,272.18,137.51,,,,,,,,,,,0.327049,0.294186,0.272178,0.137506296
16,,PICOTA,0,0,0,0,,,,,,,,,,,0,0,0,0
