,,,Conexiones Activas de agua potable (Conex) - 2120,,,,,,,,,,,
18,"18,007",ALTO LARAN,887,936,"1,053","1,049",,,,,,,,
19,"19,001",LA MERCED,"4,763","5,860","5,276","5,345",,,,,,,,
19,"19,002",SAN RAMON,"2,968","3,161","3,250","3,313",,,,,,,,
19,,VITOC,,,,,,,,,,,,
19,,PERENE,,,,,,,,,,,,
19,"19,003",PICHANAKI,"4,159","4,289","4,706","4,755",,,,,,,,
19,,SANTA ROSA,,,,,,,,,,,,
19,"19,004",OXAPAMPA,"2,078","2,160","2,294","2,299",,,,,,,,
19,"19,005",VILLA RICA,"2,108","2,189","2,256","2,283",,,,,,,,
19,"19,006",SATIPO,"3,137","3,224","3,513","3,612",,,,,,,,
19,,PANGOA,,,,,,,,,,,,
19,,MAZAMARI,,,,,,,,,,,,
20,"20,001",MOYOBAMBA,"10,677","10,885","11,429","11,909",,,,,,,,
20,,SORITOR,,,,,,,,,,,,
21,"21,001",HUANCAVELICA,"7,242","7,575","8,230","8,514",,,,,,,,
21,,IZCUCHACA,,,,,,,,,,,,
21,,ACOBAMBA,,,,,,,,,,,,
21,,CASTROVIRREYNA,,,,,,,,,,,,
22,"22,001",MOQUEGUA,"18,082","18,085","19,169","19,404",,,,,,,,
23,"23,001",YUNGUYO,"3,529","3,562","3,707","3,725",,,,,,,,
24,"24,001",HUARAL,"13,978","13,619","14,231","14,454",,,,,,,,
25,"25,001",SAYAN,"1,324","1,421","1,476","1,500",,,,,,,,
25,"25,002",VEGUETA,"2,143","2,488","2,179","2,179",,,,,,,,
25,"25,003",HUACHO,"18,309","18,809","19,396","19,711",,,,,,,,
26,"26,001",CARABAYLLO,"39,089","49,397","52,062","51,063",,,,,,,,
26,"26,002",COMAS,"66,985","67,836","69,184","69,952",,,,,,,,
26,"26,003",PUENTE PIEDRA,"48,673","50,277","51,557","52,005",,,,,,,,
26,"26,004",RIMAC,"25,648","25,970","26,075","26,085",,,,,,,,
26,"26,005",INDEPENDENCIA,"24,053","23,662","24,520","24,549",,,,,,,,
26,"26,006",SAN MARTIN DE PORRES,"96,784","98,858","101,147","101,851",,,,,,,,
26,"26,007",LOS OLIVOS,"50,246","50,613","51,063","51,150",,,,,,,,
26,"26,008",ANCON,"5,249","5,459","5,651","5,738",,,,,,,,
26,"26,009",SANTA ROSA,"2,773","2,746","2,749","2,828",,,,,,,,
26,"26,010",CALLAO,"66,196","66,645","67,265","67,503",,,,,,,,
26,"26,011",BELLAVISTA,"11,604","11,685","11,693","11,791",,,,,,,,
26,"26,012",CARMEN DE LA LEGUA,"3,552","3,576","3,628","3,621",,,,,,,,
26,"26,013",LA PERLA,"10,166","10,225","10,231","10,299",,,,,,,,
26,"26,014",LA PUNTA,"1,149","1,150","1,150","1,154",,,,,,,,
26,"26,015",VENTANILLA,"39,003","39,709","31,457","31,714",,,,,,,,
26,"26,016",EL CERCADO,"54,011","54,147","53,876","53,956",,,,,,,,
26,"26,017",BREÑA,"13,893","13,943","14,052","14,096",,,,,,,,
26,"26,018",JESUS MARÍA,"10,679","10,727","10,744","10,794",,,,,,,,
26,"26,019",LA VICTORIA,"31,314","31,378","31,491","31,525",,,,,,,,
26,"26,020",MAGDALENA DEL MAR,"8,673","8,674","8,735","8,762",,,,,,,,
