,,,Conexiones Totales de Alcantarillado (Conex) - 2130,,,,,,,,,,,
26,"26,030",SANTA ANITA,"21,932","22,060","22,229","22,319",,,,,,,,
26,"26,031",SAN JUAN DE LURIGANCHO,"143,535","145,289","147,277","147,977",,,,,,,,
26,"26,032",LURIN,"8,139","8,343","8,465","8,544",,,,,,,,
26,"26,033",PACHACAMAC,"11,805","12,233","12,716","12,860",,,,,,,,
26,"26,034",PUCUSANA,"1,596","1,642","1,665","1,679",,,,,,,,
26,"26,035",SAN JUAN DE MIRAFLORES,"54,636","54,978","55,529","55,695",,,,,,,,
26,"26,036",VILLA MARIA DEL TRIUNFO,"59,427","60,195","61,452","62,120",,,,,,,,
26,"26,037",VILLA EL SALVADOR,"64,698","64,941","65,628","65,788",,,,,,,,
26,"26,038",BARRANCO,"6,445","6,467","6,439","6,456",,,,,,,,
26,"26,039",CHORRILLOS,"39,538","40,035","40,367","40,502",,,,,,,,
26,"26,040",LINCE,"10,205","10,243","10,207","10,215",,,,,,,,
26,"26,041",MIRAFLORES,"16,472","16,419","16,311","16,304",,,,,,,,
26,"26,042",SAN BORJA,"19,352","19,376","19,374","19,377",,,,,,,,
26,"26,043",SAN ISIDRO,"11,698","11,683","11,624","11,606",,,,,,,,
26,"26,044",SURCO,"49,629","49,928","50,019","50,110",,,,,,,,
26,"26,045",SURQUILLO,"13,035","13,107","13,115","13,126",,,,,,,,
26,"26,046",PUNTA NEGRA,"1,030","1,055","1,083","1,112",,,,,,,,
26,"26,047",PUNTA HERMOSA,"1,238","1,191","1,217","1,232",,,,,,,,
26,"26,048",SAN BARTOLO,"1,457","1,618","1,647","1,656",,,,,,,,
26,"26,049",MI PERÚ,,,"8,408","8,368",,,,,,,,
27,"27,001",ILO,"22,949","23,551","24,443","24,641",,,,,,,,
28,"28,001",TRUJILLO,"58,028","59,020","59,939","60,098",,,,,,,,
28,,PACASMAYO,,,,,,,,,,,,
28,"28,002",CHEPEN,"7,072","7,304","7,570","7,615",,,,,,,,
28,,VIRU,,,,,,,,,,,,
28,,CHAO,,,,,,,,,,,,
28,"28,003",HUANCHACO,"5,222","5,958","6,766","6,854",,,,,,,,
28,"28,004",MOCHE,"2,666","2,908","2,965","2,974",,,,,,,,
28,"28,005",SALAVERRY,"2,112","2,264","2,694","2,773",,,,,,,,
28,,GUADALUPE,,,,,,,,,,,,
28,,SAN PEDRO DE LLOC,,,,,,,,,,,,
28,"28,006",CHOCOPE,"1,219","1,280","1,304","1,307",,,,,,,,
28,"28,007",PUERTO MALABRIGO,"1,319","1,372","1,422","1,431",,,,,,,,
28,"28,008",PAIJAN,"2,990","3,034","3,103","3,132",,,,,,,,
28,"28,009",LA ESPERANZA,"28,883","29,367","29,639","29,687",,,,,,,,
28,"28,010",EL PORVENIR,"27,388","27,983","28,890","29,122",,,,,,,,
28,"28,011",FLORENCIA DE MORA,"6,373","6,437","6,524","6,535",,,,,,,,
28,,CHICAMA,,,,,,,,,,,,
28,"28,012",PACANGUILLA,947,995,"1,120","1,123",,,,,,,,
28,"28,013",VICTOR LARCO,"11,404","11,683","11,979","12,054",,,,,,,,
29,"29,001",CHICLAYO,"86,155","90,957","93,098","93,098",,,,,,,,
29,"29,002",LAMBAYEQUE,"9,271","9,472","10,172","10,172",,,,,,,,
29,"29,003",FERREÑAFE,"9,114","9,351","9,875","9,875",,,,,,,,
29,"29,004",PIMENTEL,"4,999","5,161","5,489","5,489",,,,,,,,
29,,CHONGOYAPE,,,,,,,,,,,,
29,"29,005",ETEN,"2,376","2,471","2,557","2,557",,,,,,,,
29,"29,006",MONSEFU,"3,988","4,086","4,281","4,281",,,,,,,,
29,"29,007",ETEN PUERTO,734,785,804,804,,,,,,,,
29,"29,008",NUEVA ARICA,141,144,146,146,,,,,,,,
29,"29,009",OYOTUN,587,589,591,591,,,,,,,,
29,"29,010",PICSI,860,879,897,897,,,,,,,,
29,"29,011",REQUE,"1,571","1,637","1,725","1,725",,,,,,,,
29,"29,012",ZAÑA,892,918,934,934,,,,,,,,
29,"29,013",SANTA ROSA,"2,279","2,342","2,396","2,396",,,,,,,,
29,"29,014",ILLIMO,"1,326","1,367","1,388","1,388",,,,,,,,
29,,PALLANCA,,,,,,,,,,,,
29,"29,015",MOCHUMI,"1,102","1,195","1,217","1,217",,,,,,,,
29,"29,016",MOTUPE,"2,872","2,952","3,356","3,356",,,,,,,,
29,"29,017",OLMOS,"2,049","2,121","2,170","2,170",,,,,,,,
29,"29,018",PACORA,934,990,"1,029","1,029",,,,,,,,
29,"29,019",SALAS,0,0,,,,,,,,,,
29,"29,020",SAN JOSE,"1,463","1,474","1,480","1,480",,,,,,,,
29,"29,021",TUCUME,"1,352","1,418","1,514","1,514",,,,,,,,
29,,MORROPE,,,,,,,,,,,,
29,,Desconocido,,,,,,,,,,,,
29,"29,022",POSOPE ALTO,"1,702","1,719","1,758","1,758",,,,,,,,
