,,,Conexiones con medidor leído (Conex) - 2160,,,,,,,,,,,
44,"44,001",ANDAHUAYLAS,"4,000","4,497","4,909","4,573",,,,,,,,
45,"45,001",JAEN,"12,303","14,205","14,605","15,096",,,,,,,,
45,"45,002",BELLAVISTA,"1,244","1,292","1,283","1,367",,,,,,,,
45,"45,003",SAN IGNACIO,0,,,,,,,,,,,
46,"46,001",HUANCAYO,"5,224","9,215","9,748","10,096",,,,,,,,
46,"46,002",EL TAMBO,"5,530","9,922","10,467","10,704",,,,,,,,
46,"46,003",CHILCA,"1,942","4,582","4,876","5,080",,,,,,,,
46,"46,004",HUANCÁN ,2,1,6,6,,,,,,,,
46,"46,005",CAJAS,5,7,6,6,,,,,,,,
46,"46,006",ORCOTUNA ,199,194,212,210,,,,,,,,
46,"46,007",VIQUES,0,0,0,0,,,,,,,,
46,"46,008",HUACRAPUQUIO,0,0,0,0,,,,,,,,
47,"47,001",CALCA,0,,0,0,,,,,,,,
48,"48,001",AYAVIRI,0,0,0,0,,,,,,,,
50,"50,001",LA OROYA,"2,321","2,886","2,381","2,362",,,,,,,,
51,"51,001",RIOJA,"3,295","2,773","3,072","3,072",,,,,,,,
