,,,Volumen Producido (m3) - 3130 - Acumulado,,,,,,,,,,,,,,,,,
26,"26,004",RIMAC,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,005",INDEPENDENCIA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,006",SAN MARTIN DE PORRES,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,007",LOS OLIVOS,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,008",ANCON,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,009",SANTA ROSA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,010",CALLAO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,011",BELLAVISTA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,012",CARMEN DE LA LEGUA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,013",LA PERLA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,014",LA PUNTA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,015",VENTANILLA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,016",EL CERCADO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,017",BREÑA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,018",JESUS MARÍA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,019",LA VICTORIA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,020",MAGDALENA DEL MAR,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,021",PUEBLO LIBRE,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,022",SAN MIGUEL,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,023",ATE-VITARTE,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,024",CHACLACAYO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,025",CIENEGUILLA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,026",EL AGUSTINO,"590,621","687,477","713,459","370,723",,,,,,,,,,,590.621393,687.476754,713.459163,370.72269
26,"26,027",LA MOLINA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,028",LURIGANCHO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,029",SAN LUIS,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,030",SANTA ANITA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,031",SAN JUAN DE LURIGANCHO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,032",LURIN,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,033",PACHACAMAC,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,034",PUCUSANA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,035",SAN JUAN DE MIRAFLORES,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,036",VILLA MARIA DEL TRIUNFO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,037",VILLA EL SALVADOR,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,038",BARRANCO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,039",CHORRILLOS,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,040",LINCE,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,041",MIRAFLORES,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,042",SAN BORJA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,043",SAN ISIDRO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,044",SURCO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,045",SURQUILLO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,046",PUNTA NEGRA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,047",PUNTA HERMOSA,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,048",SAN BARTOLO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,049",MI PERÚ,0,0,0,0,,,,,,,,,,,0,0,0,0
27,"27,001",ILO,"6,519","6,846","6,617","3,694",,,,,,,,,,,6.519023,6.845766,6.617498,3.694193185
28,"28,001",TRUJILLO,"23,733","25,226","25,916","13,551",,,,,,,,,,,23.73304712,25.22567631,25.91647416,13.55075822
28,,PACASMAYO,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,002",CHEPEN,"2,459","2,673","2,926","1,498",,,,,,,,,,,2.45898266,2.6731252,2.92597988,1.497514286
28,,VIRU,0,0,0,0,,,,,,,,,,,0,0,0,0
28,,CHAO,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,003",HUANCHACO,"1,462","1,615","1,695",894,,,,,,,,,,,1.46215183,1.615377,1.6946884,0.893626
28,"28,004",MOCHE,"1,396","1,477","1,320",697,,,,,,,,,,,1.396483,1.477345,1.320179,0.697243556
28,"28,005",SALAVERRY,"1,032","1,027",929,458,,,,,,,,,,,1.03229708,1.027467,0.92880488,0.45789184
28,,GUADALUPE,0,0,0,0,,,,,,,,,,,0,0,0,0
28,,SAN PEDRO DE LLOC,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,006",CHOCOPE,462,429,483,264,,,,,,,,,,,0.46167107,0.429404,0.4827534,0.264303304
28,"28,007",PUERTO MALABRIGO,376,404,314,173,,,,,,,,,,,0.3762058,0.4035168,0.31373904,0.172781181
28,"28,008",PAIJAN,633,615,951,363,,,,,,,,,,,0.63341316,0.6146068,0.95128036,0.363230007
28,"28,009",LA ESPERANZA,"6,853","7,402","8,733","5,253",,,,,,,,,,,6.85295616,7.401997,8.732991,5.252773111
28,"28,010",EL PORVENIR,"6,093","6,443","6,728","3,817",,,,,,,,,,,6.09283294,6.44314256,6.727634,3.816697444
28,"28,011",FLORENCIA DE MORA,"1,383","1,533","1,270",788,,,,,,,,,,,1.382925,1.53288,1.26963,0.788243852
28,,CHICAMA,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,012",PACANGUILLA,265,246,262,129,,,,,,,,,,,0.26484935,0.24637,0.262054,0.12851237
