,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,,,,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,
18,"18,003",CHINCHA BAJA,993,"1,037","1,079","1,093",,,,,,,,
18,"18,004",PUEBLO NUEVO,"11,780","11,897","12,036","12,100",,,,,,,,
18,"18,005",GROCIO PRADO,"5,021","5,165","5,306","5,341",,,,,,,,
18,"18,006",SUNAMPE,"4,283","4,401","4,515","4,577",,,,,,,,
18,"18,007",ALTO LARAN,"1,161","1,226","1,360","1,407",,,,,,,,
19,"19,001",LA MERCED,"5,466","5,760","5,949","6,027",,,,,,,,
19,"19,002",SAN RAMON,"3,416","3,588","3,711","3,752",,,,,,,,
19,,VITOC,0,,,,,,,,,,,
19,,PERENE,0,,,,,,,,,,,
19,"19,003",PICHANAKI,"4,697","4,860","5,340","5,468",,,,,,,,
19,,SANTA ROSA,0,,,,,,,,,,,
19,"19,004",OXAPAMPA,"2,238","2,297","2,421","2,445",,,,,,,,
19,"19,005",VILLA RICA,"2,296","2,366","2,434","2,453",,,,,,,,
19,"19,006",SATIPO,"3,975","4,061","4,353","4,435",,,,,,,,
19,,PANGOA,0,,,,,,,,,,,
19,,MAZAMARI,0,,,,,,,,,,,
20,"20,001",MOYOBAMBA,"11,689","12,047","12,547","13,039",,,,,,,,
20,,SORITOR,0,,,,,,,,,,,
21,"21,001",HUANCAVELICA,"8,024","8,294","8,982","9,274",,,,,,,,
21,,IZCUCHACA,0,,,,,,,,,,,
21,,ACOBAMBA,0,,,,,,,,,,,
21,,CASTROVIRREYNA,0,,,,,,,,,,,
22,"22,001",MOQUEGUA,"20,225","20,724","21,774","22,024",,,,,,,,
23,"23,001",YUNGUYO,"4,768","4,880","5,026","5,087",,,,,,,,
24,"24,001",HUARAL,"15,510","13,662","17,309","16,999",,,,,,,,
25,"25,001",SAYAN,"1,517","1,590","1,686","1,709",,,,,,,,
25,"25,002",VEGUETA,"2,403","2,488","2,429","2,429",,,,,,,,
25,"25,003",HUACHO,"21,835","22,389","23,084","23,448",,,,,,,,
26,"26,001",CARABAYLLO,"47,562","58,190","59,473","59,930",,,,,,,,
26,"26,002",COMAS,"70,580","71,458","72,242","72,820",,,,,,,,
26,"26,003",PUENTE PIEDRA,"55,134","56,202","57,630","58,132",,,,,,,,
26,"26,004",RIMAC,"27,236","27,339","27,482","27,473",,,,,,,,
26,"26,005",INDEPENDENCIA,"25,428","25,543","25,704","25,744",,,,,,,,
26,"26,006",SAN MARTIN DE PORRES,"100,206","102,363","104,702","105,269",,,,,,,,
26,"26,007",LOS OLIVOS,"51,460","51,773","52,152","52,294",,,,,,,,
26,"26,008",ANCON,"5,756","5,715","5,831","5,814",,,,,,,,
26,"26,009",SANTA ROSA,"3,406","3,382","3,574","3,538",,,,,,,,
26,"26,010",CALLAO,"69,186","69,631","69,905","69,921",,,,,,,,
26,"26,011",BELLAVISTA,"11,880","11,939","11,985","12,016",,,,,,,,
26,"26,012",CARMEN DE LA LEGUA,"3,656","3,671","3,680","3,692",,,,,,,,
26,"26,013",LA PERLA,"10,425","10,457","10,498","10,500",,,,,,,,
26,"26,014",LA PUNTA,"1,177","1,176","1,175","1,175",,,,,,,,
26,"26,015",VENTANILLA,"41,450","41,818","33,036","33,196",,,,,,,,
