id_persona,prestacion,tipotra,tipoben,beneficio
45467600200,1,2,4,691.04
78946660232,1,2,4,119.12
42448802225,1,2,4,56.36
37390284210,1,2,4,216.43
23430600229,1,2,4,117.96
44424405229,1,2,4,38.03
24579160221,1,2,4,268.71
96490384219,1,2,4,111.87
28770760221,1,2,4,452.98
45552304200,1,2,4,217.58
76040060232,1,2,4,100.56
77783402232,1,2,4,203.45
26464704233,1,2,4,142.89
95989705232,1,2,4,234.33
44003705210,1,2,4,209.38
79695500225,1,2,4,92.06999999999999
38276202202,1,2,4,180.78
41606800208,1,2,4,474.98
52145260223,1,2,4,193.52
24263200229,1,2,4,138.9
48821200225,1,2,4,166.94
45316804200,1,2,4,131.38
80486060219,1,2,4,158.17
48741804225,1,2,4,78.51000000000001
80179905232,1,2,4,69.70999999999999
98999105208,1,2,4,101.21
62913605204,1,2,4,138.74
30479460207,1,2,4,254.63
13230200216,1,2,4,86.95999999999999
78169100232,2,2,4,65.59999999999999
27861600221,1,2,4,234.04
63383202204,1,2,4,107.59
07588105220,1,2,4,106.18
81502900232,1,2,4,209.74
79616504232,1,2,4,163.2
86124560224,1,2,4,116.56
95087801232,1,2,4,110.59
35053303229,1,2,4,102.8
35646160208,1,2,4,75.36
69374500207,1,2,4,198.61
27082302221,1,2,4,138.6
07441901208,1,2,4,149.71
28818700221,1,2,4,241.39
25944700210,1,2,4,450.84
01338304218,1,2,4,709.43
00476201204,1,2,4,164.23
68397500229,1,2,4,361.64
20539600201,1,2,4,1597.65
54747000206,1,2,4,129.85
94754100232,1,2,4,636.5700000000001
08875601222,1,2,4,545.88
56678000206,1,2,4,240.33
79147701232,1,2,4,644.8200000000001
89225300232,1,2,4,288.91
08887104222,1,2,4,524.5
84934900232,1,2,4,1341.67
80864501232,1,2,4,753.05
05703900204,1,2,4,534.14
08463300222,1,2,4,319.4
92317804226,1,2,4,154.97
08844404222,1,2,4,652.43
97251901219,1,2,4,334.89
78780201232,1,2,4,1295.95
08460100222,1,2,4,485.23
06367403204,1,2,4,346.94
01105400220,1,2,4,156.71
25529900221,1,2,4,93.56
80787503232,1,2,4,191.1
77221800232,1,2,4,418.55
78772004232,1,2,4,234.93
42520501208,1,2,4,188.55
08475901222,1,2,4,701.9
77894000232,1,2,4,277.76
83150904232,1,2,4,300.58
78891703232,1,2,4,262.7
78921103232,1,2,4,285.03
40962104216,1,2,4,166.64
08477701222,2,2,4,227.49
45467702200,1,2,4,200.21
86651901232,1,2,4,295.72
62898900204,1,2,4,1480.44
08656004222,1,2,4,574.43
24934801221,1,2,4,357.64
08402401222,1,2,4,517.35
64144904230,1,2,4,205.95
73930001232,1,2,4,248.95
02102600204,1,2,4,242.23
45439800200,1,2,4,667.3
42682401204,1,2,4,1749.72
63872902204,1,2,4,694.26
64018301204,1,2,4,1226.08
47299200210,1,2,4,360.44
60837603206,1,2,4,733.23
29944302221,1,2,4,396.37
63779802204,1,2,4,1775.77
08974000222,1,2,4,885.88
40325503204,1,2,4,211.44
62020804229,1,2,4,214.68
64013400204,1,2,4,430.91
06434504204,1,2,4,150.79
76891801232,1,2,4,118.75
61156100202,1,2,4,205.75
25185004221,1,2,4,300.51
45425901200,1,2,4,1658.02
28431404221,1,2,4,344.7
64060802204,1,2,4,271.93
08965401222,1,2,4,613.3
79431200232,1,2,4,206.83
85387400232,1,2,4,479.49
08283700222,1,2,4,794.29
40133802221,1,2,4,705.63
62594200204,1,2,4,427.41
08833701222,1,2,4,700.8200000000001
01197304204,1,2,4,121.94
88688401220,1,2,4,275.52
62025801204,1,2,4,818.35
93745300219,1,2,4,392.54
22950304228,1,2,4,434.47
77470203232,1,2,4,294.07
63871800204,1,2,4,2049.03
29524503208,1,2,4,401.15
08747801222,2,2,4,262.04
08344600222,1,2,4,703.8
63806702204,1,2,4,662.76
71726402226,1,2,4,106.14
45408601200,1,2,4,831.31
71222601208,1,2,4,519.4
24723401221,2,2,4,49.71
42359900204,1,2,4,226.54
83860000219,1,2,4,184.01
85866400219,1,2,4,113.31
78170804232,1,2,4,293.46
56335004227,1,2,4,443.42
94801900219,1,2,4,323.57
96066102208,1,2,4,117.36
51393301229,1,2,4,177.59
45330300200,1,2,4,1160.33
42640803204,1,2,4,551.72
41053004204,1,2,4,951.16
43967503221,1,2,4,235.72
42322804204,1,2,4,185.64
08463901222,1,2,4,249.47
78981201232,1,2,4,214.1
07897204221,1,2,4,132.56
67771402229,1,2,4,157.92
62196102204,1,2,4,562.79
62982304229,1,2,4,421.88
43176900229,1,2,4,148.04
80931302232,1,2,4,689.72
88274304220,1,2,4,240.81
56269000227,1,2,4,139.54
45466004229,1,2,4,418.85
57046800208,1,2,4,511.88
