"Municipalidad","PIA","PIM","Certificación","Compromiso Anual","Atención de Compromiso Mensual","Devengado","Girado","avance","periodo","PROVINCIA"
"MUNICIPALIDAD DISTRITAL DE IMPERIAL",11382508,21147705,17304254,11856216,11551136,11276023,11205233,53.3,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE LUNAHUANA",3846561,14154631,12153035,11475227,11280223,5012874,5010358,35.4,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE MALA",18370104,29851313,25625987,19516291,19088613,18572369,18534312,62.2,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL",9054701,16977253,9602443,8960948,8840064,8526780,8076653,50.2,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE PACARAN",1046852,8079853,7895981,1415074,1389447,1343946,1343772,16.6,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE QUILMANA",6456379,10055935,8875677,6573197,6544469,6187382,6161400,61.5,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE FLORES",3227403,5478509,4969994,4681345,4680577,4680577,4677353,85.4,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE ZUÑIGA",1673274,3468299,2358701,1305017,1298879,1298879,1298879,37.5,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD PROVINCIAL DE HUARAL",72627353,155552232,146763455,66162817,66136846,66126964,59055739,42.5,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE ATAVILLOS ALTO",627900,2050579,1957042,1457935,1455935,1455695,1455695,71,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE ATAVILLOS BAJO",666306,2845731,2745378,2744009,2744009,2744009,2744009,96.4,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE AUCALLAMA",8931835,17071457,14224314,12126586,11833296,11833296,11738464,69.3,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE CHANCAY",22406731,53791228,40088798,23208814,22833599,22730288,22310629,42.3,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE IHUARI",1353880,3893557,3614011,3218551,2190921,2171721,2153651,55.8,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE LAMPIAN",478316,1199661,1025681,1025301,1025301,1025301,1025301,85.5,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE PACARAOS",1693033,2686338,2299983,1741853,1739376,1683430,1365682,62.7,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE ACOS",553041,2581583,2286536,1606092,1590392,1590367,1587680,61.6,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE ANDAMARCA",1942180,2534238,2140596,2044311,1997607,1991607,1952120,78.6,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE SUMBILCA",793642,2333025,749837,724398,712655,703561,686951,30.2,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
