"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,97.7,98.4,55,700,777,3.6,45.7,50.7,412,641,477,26.9,41.9,31.2
020106,ÁNCASH,HUARAZ,JANGAS,100.0,100.0,3,32,20,5.5,58.2,36.4,13,28,14,23.6,50.9,25.5
020107,ÁNCASH,HUARAZ,LA LIBERTAD,100.0,92.0,5,15,3,21.7,65.2,13.0,12,11,0,52.2,47.8,0.0
020108,ÁNCASH,HUARAZ,OLLEROS,100.0,100.0,3,24,4,9.7,77.4,12.9,17,11,3,54.8,35.5,9.7
020109,ÁNCASH,HUARAZ,PAMPAS GRANDE,100.0,100.0,4,7,2,30.8,53.8,15.4,10,3,0,76.9,23.1,0.0
020110,ÁNCASH,HUARAZ,PARIACOTO,100.0,95.6,35,54,20,32.1,49.5,18.3,73,24,12,67.0,22.0,11.0
020111,ÁNCASH,HUARAZ,PIRA,100.0,100.0,14,28,3,31.1,62.2,6.7,35,8,2,77.8,17.8,4.4
020112,ÁNCASH,HUARAZ,TARICA,100.0,99.0,17,53,30,17.0,53.0,30.0,45,40,15,45.0,40.0,15.0
020201,ÁNCASH,AIJA,AIJA,100.0,100.0,3,22,11,8.3,61.1,30.6,9,9,18,25.0,25.0,50.0
020202,ÁNCASH,AIJA,CORIS,100.0,89.7,10,24,1,28.6,68.6,2.9,25,10,0,71.4,28.6,0.0
020203,ÁNCASH,AIJA,HUACLLAN,100.0,100.0,0,7,1,0.0,87.5,12.5,5,3,0,62.5,37.5,0.0
020204,ÁNCASH,AIJA,LA MERCED,100.0,100.0,4,7,0,36.4,63.6,0.0,10,1,0,90.9,9.1,0.0
020205,ÁNCASH,AIJA,SUCCHA,100.0,90.9,1,5,4,10.0,50.0,40.0,2,4,4,20.0,40.0,40.0
020301,ÁNCASH,ANTONIO RAIMONDI,LLAMELLIN,100.0,98.1,2,39,10,3.9,76.5,19.6,18,23,10,35.3,45.1,19.6
020302,ÁNCASH,ANTONIO RAIMONDI,ACZO,100.0,100.0,3,19,14,8.3,52.8,38.9,12,18,6,33.3,50.0,16.7
020303,ÁNCASH,ANTONIO RAIMONDI,CHACCHO,100.0,100.0,6,23,2,19.4,74.2,6.5,14,14,3,45.2,45.2,9.7
020304,ÁNCASH,ANTONIO RAIMONDI,CHINGAS,100.0,94.9,1,26,10,2.7,70.3,27.0,10,20,6,27.8,55.6,16.7
020305,ÁNCASH,ANTONIO RAIMONDI,MIRGAS,100.0,100.0,16,55,2,21.9,75.3,2.7,46,26,1,63.0,35.6,1.4
020306,ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,100.0,100.0,4,23,4,12.9,74.2,12.9,16,13,2,51.6,41.9,6.5
020401,ÁNCASH,ASUNCIÓN,CHACAS,100.0,95.4,9,42,27,11.5,53.8,34.6,19,37,22,24.4,47.4,28.2
020402,ÁNCASH,ASUNCIÓN,ACOCHACA,100.0,94.4,0,38,13,0.0,74.5,25.5,9,24,18,17.6,47.1,35.3
020501,ÁNCASH,BOLOGNESI,CHIQUIAN,100.0,97.6,6,39,34,7.6,49.4,43.0,21,33,25,26.6,41.8,31.6
020503,ÁNCASH,BOLOGNESI,ANTONIO RAYMONDI,100.0,100.0,0,11,6,0.0,64.7,35.3,9,4,4,52.9,23.5,23.5
020504,ÁNCASH,BOLOGNESI,AQUIA,100.0,96.4,2,17,8,7.4,63.0,29.6,17,10,0,63.0,37.0,0.0
020505,ÁNCASH,BOLOGNESI,CAJACAY,100.0,100.0,2,17,7,7.7,65.4,26.9,4,16,6,15.4,61.5,23.1
020507,ÁNCASH,BOLOGNESI,COLQUIOC,100.0,94.4,1,20,13,2.9,58.8,38.2,7,17,10,20.6,50.0,29.4
020508,ÁNCASH,BOLOGNESI,HUALLANCA,100.0,98.8,11,80,69,6.9,50.0,43.1,38,62,59,23.9,39.0,37.1
020509,ÁNCASH,BOLOGNESI,HUASTA,100.0,96.2,2,17,6,8.0,68.0,24.0,8,12,5,32.0,48.0,20.0
