"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de secundaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,,HGE,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
010608,Amazonas,Rodriguez de Mendoza,Milpuc,100.0,100.0,0,7,5,1,.0,53.8,38.5,7.7,1,9,1,2,7.7,69.2,7.7,15.4,0,2,8,3,.0,16.7,58.3,25.0
010609,Amazonas,Rodriguez de Mendoza,Omia,100.0,95.9,37,95,47,14,19.3,49.2,24.1,7.4,42,85,41,27,21.7,43.7,20.9,13.7,45,54,70,25,23.1,28.1,36.0,12.8
010612,Amazonas,Rodriguez de Mendoza,Vista Alegre,100.0,81.5,11,11,4,1,40.9,40.9,13.6,4.5,10,11,4,2,36.4,40.9,13.6,9.1,5,10,11,1,18.2,36.4,40.9,4.5
010701,Amazonas,Utcubamba,Bagua Grande,100.0,96.4,304,459,192,58,30.1,45.3,19.0,5.7,400,403,127,82,39.5,39.8,12.6,8.1,253,344,314,102,25.0,33.9,31.0,10.0
010702,Amazonas,Utcubamba,Cajaruro,100.0,95.0,131,230,90,31,27.1,47.8,18.7,6.4,184,197,67,35,38.1,40.8,13.9,7.2,127,163,158,34,26.4,33.7,32.8,7.1
010703,Amazonas,Utcubamba,Cumba,100.0,92.4,36,77,39,5,23.0,48.8,24.9,3.3,45,70,28,14,28.4,44.9,17.8,8.9,39,54,48,16,24.8,34.4,30.8,10.0
010704,Amazonas,Utcubamba,El Milagro,100.0,94.7,28,38,8,0,37.5,51.3,11.2,.0,32,33,6,3,42.6,44.5,8.4,4.4,24,28,19,4,31.4,37.7,25.3,5.6
010705,Amazonas,Utcubamba,Jamalca,100.0,93.2,34,76,18,4,25.8,57.8,13.4,3.0,36,60,26,10,26.9,45.8,19.7,7.6,28,41,47,16,21.4,31.2,35.4,12.1
010706,Amazonas,Utcubamba,Lonya Grande,100.0,92.6,38,77,40,8,23.4,47.2,24.6,4.8,57,66,21,18,35.2,40.6,13.1,11.1,33,63,49,17,20.5,38.6,30.2,10.6
010707,Amazonas,Utcubamba,Yamon,100.0,88.9,19,42,9,3,26.1,58.0,12.2,3.6,26,41,5,0,36.1,57.3,6.7,.0,10,26,26,10,13.6,35.5,36.3,14.6
020101,Ancash,Huaraz,Huaraz,100.0,98.9,187,363,328,168,17.8,34.7,31.4,16.1,342,378,215,112,32.6,36.2,20.5,10.7,214,264,390,178,20.5,25.2,37.3,17.0
020102,Ancash,Huaraz,Cochabamba,100.0,100.0,16,8,1,0,64.0,32.0,4.0,.0,17,8,0,0,68.0,32.0,.0,.0,14,8,2,1,56.0,32.0,8.0,4.0
020104,Ancash,Huaraz,Huanchay,100.0,100.0,13,14,6,2,37.1,40.0,17.1,5.7,20,13,1,1,56.4,37.9,2.9,2.9,14,10,9,2,40.0,28.6,25.7,5.7
020105,Ancash,Huaraz,Independencia,100.0,98.6,179,528,485,329,11.8,34.7,31.9,21.6,314,608,325,274,20.6,40.0,21.4,18.0,190,375,609,347,12.5,24.6,40.1,22.8
020106,Ancash,Huaraz,Jangas,100.0,97.1,37,25,6,0,54.5,36.4,9.1,.0,36,24,6,2,53.0,34.8,9.1,3.0,28,26,12,2,40.9,37.9,18.2,3.0
