Año,Código DRE,Nombre DRE,Código UGEL,Nombre UGEL ,Evaluación,Grado,Competencia,Medida Promedio,Nivel de Logro: En inicio,Nivel de Logro: En proceso,Nivel de Logro: Satisfactorio
2015,500,Ayacucho,50006,Lucanas,ECE2015,SEGUNDO,LECTURA,586,"5,3","48,7","46,1"
2015,500,Ayacucho,50006,Lucanas,ECE2015,SEGUNDO,MATEMÁTICA,586,"26,8","45,6","27,6"
2015,500,Ayacucho,50007,Parinacochas,ECE2015,SEGUNDO,LECTURA,605,"2,3","41,4","56,3"
2015,500,Ayacucho,50007,Parinacochas,ECE2015,SEGUNDO,MATEMÁTICA,619,"15,9","41,4","42,7"
2015,500,Ayacucho,50008,Paucar de Sara Sara,ECE2015,SEGUNDO,LECTURA,574,"11,1","47,5","41,4"
2015,500,Ayacucho,50008,Paucar de Sara Sara,ECE2015,SEGUNDO,MATEMÁTICA,546,"40,4","38,4","21,2"
2015,500,Ayacucho,50009,Sucre,ECE2015,SEGUNDO,LECTURA,593,"1,7","44,1","54,2"
2015,500,Ayacucho,50009,Sucre,ECE2015,SEGUNDO,MATEMÁTICA,595,"25,4","37,3","37,3"
2015,500,Ayacucho,50010,Víctor Fajardo,ECE2015,SEGUNDO,LECTURA,549,"4,6","71,8","23,7"
2015,500,Ayacucho,50010,Víctor Fajardo,ECE2015,SEGUNDO,MATEMÁTICA,539,"35,9","53,4","10,7"
2015,500,Ayacucho,50011,Vilcashuamán,ECE2015,SEGUNDO,LECTURA,546,"12,4","59,9","27,7"
2015,500,Ayacucho,50011,Vilcashuamán,ECE2015,SEGUNDO,MATEMÁTICA,568,"30,1","44,1","25,7"
2015,600,Cajamarca,60001,Cajamarca,ECE2015,SEGUNDO,LECTURA,587,"6,2","46,8",47
2015,600,Cajamarca,60001,Cajamarca,ECE2015,SEGUNDO,MATEMÁTICA,583,"27,9","42,4","29,7"
2015,600,Cajamarca,60002,Cajabamba,ECE2015,SEGUNDO,LECTURA,539,"15,2","59,4","25,4"
2015,600,Cajamarca,60002,Cajabamba,ECE2015,SEGUNDO,MATEMÁTICA,541,"43,1","37,4","19,6"
2015,600,Cajamarca,60003,Celendín,ECE2015,SEGUNDO,LECTURA,560,"10,1","57,5","32,4"
2015,600,Cajamarca,60003,Celendín,ECE2015,SEGUNDO,MATEMÁTICA,572,"33,3","39,7",27
2015,600,Cajamarca,60004,Chota,ECE2015,SEGUNDO,LECTURA,576,"5,3","52,6","42,1"
2015,600,Cajamarca,60004,Chota,ECE2015,SEGUNDO,MATEMÁTICA,598,"22,8",42,"35,2"
2015,600,Cajamarca,60005,Contumazá,ECE2015,SEGUNDO,LECTURA,587,"6,3","48,8","44,9"
2015,600,Cajamarca,60005,Contumazá,ECE2015,SEGUNDO,MATEMÁTICA,595,"27,6","34,8","37,6"
2015,600,Cajamarca,60006,Cutervo,ECE2015,SEGUNDO,LECTURA,578,"6,9","50,7","42,4"
2015,600,Cajamarca,60006,Cutervo,ECE2015,SEGUNDO,MATEMÁTICA,601,"25,4","37,1","37,5"
2015,600,Cajamarca,60007,Hualgayoc,ECE2015,SEGUNDO,LECTURA,572,"5,8","56,7","37,4"
2015,600,Cajamarca,60007,Hualgayoc,ECE2015,SEGUNDO,MATEMÁTICA,600,"22,5","43,4","34,1"
2015,600,Cajamarca,60008,Jaén,ECE2015,SEGUNDO,LECTURA,585,"6,4","47,1","46,5"
2015,600,Cajamarca,60008,Jaén,ECE2015,SEGUNDO,MATEMÁTICA,591,"25,6","40,2","34,1"
2015,600,Cajamarca,60009,San Ignacio,ECE2015,SEGUNDO,LECTURA,593,"4,4","45,7","49,9"
2015,600,Cajamarca,60009,San Ignacio,ECE2015,SEGUNDO,MATEMÁTICA,606,"22,3","39,3","38,4"
2015,600,Cajamarca,60010,San Marcos,ECE2015,SEGUNDO,LECTURA,556,"13,2","53,8",33
2015,600,Cajamarca,60010,San Marcos,ECE2015,SEGUNDO,MATEMÁTICA,566,"36,0","39,1","24,9"
2015,600,Cajamarca,60011,San Miguel,ECE2015,SEGUNDO,LECTURA,595,"4,1","45,2","50,6"
2015,600,Cajamarca,60011,San Miguel,ECE2015,SEGUNDO,MATEMÁTICA,624,"13,0","43,7","43,3"
2015,600,Cajamarca,60012,San Pablo,ECE2015,SEGUNDO,LECTURA,554,"8,6","59,8","31,6"
2015,600,Cajamarca,60012,San Pablo,ECE2015,SEGUNDO,MATEMÁTICA,560,"35,7","42,1","22,2"
2015,600,Cajamarca,60013,Santa Cruz,ECE2015,SEGUNDO,LECTURA,576,"5,2","52,5","42,3"
2015,600,Cajamarca,60013,Santa Cruz,ECE2015,SEGUNDO,MATEMÁTICA,594,"21,3",48,"30,7"
2015,701,Callao,70101,(DRE) Callao,ECE2015,SEGUNDO,LECTURA,616,"2,3",36,"61,7"
2015,701,Callao,70101,(DRE) Callao,ECE2015,SEGUNDO,MATEMÁTICA,595,"23,7","44,1","32,1"
2015,701,Callao,70102,Ventanilla,ECE2015,SEGUNDO,LECTURA,629,"1,4","30,5","68,1"
2015,701,Callao,70102,Ventanilla,ECE2015,SEGUNDO,MATEMÁTICA,624,"16,6","40,9","42,5"
2015,800,Cusco,80001,Cusco,ECE2015,SEGUNDO,LECTURA,630,"1,7","30,7","67,6"
